Route_id,Start_terminal_id,End_terminal_id,Arrival_time,Departure_time,Start_station_id,End_station_id,Train_id,Seats_General,Seats_AC1,Seats_AC2
1038201,1092,1101,"2022-04-19 07:46:22","2022-04-19 08:06:12",109,110,10382,60,60,60
1038202,1101,1111,"2022-04-19 09:15:32","2022-04-19 09:32:17",110,111,10382,60,60,60
1038203,1111,1121,"2022-04-19 12:42:17","2022-04-19 13:00:57",111,112,10382,60,60,60
1038204,1121,1132,"2022-04-19 15:25:17","2022-04-19 15:52:58",112,113,10382,60,60,60
1038205,1132,NULL,"2022-04-19 17:14:21",NULL,113,NULL,10382,0,0,0
1093001,1192,1021,"2022-02-18 11:26:36","2022-02-18 11:35:36",119,102,10930,80,70,0
1093002,1021,1182,"2022-02-18 13:06:36","2022-02-18 13:27:56",102,118,10930,80,70,0
1093003,1182,1132,"2022-02-18 15:56:37","2022-02-18 16:29:25",118,113,10930,77,70,0
1093004,1132,NULL,"2022-02-18 20:12:09",NULL,113,NULL,10930,80,70,0
1196301,1122,1151,"2022-09-06 22:06:30","2022-09-06 22:19:37",112,115,11963,70,40,30
1196302,1151,1202,"2022-09-07 13:09:29","2022-09-07 13:26:49",115,120,11963,70,40,30
1196303,1202,1001,"2022-09-07 17:41:59","2022-09-07 18:02:06",120,100,11963,70,40,30
1196304,1001,1211,"2022-09-08 00:21:03","2022-09-08 00:57:43",100,121,11963,70,40,30
1196305,1211,NULL,"2022-09-08 10:10:32",NULL,121,NULL,11963,0,0,0
1270301,1001,1011,"2022-07-21 10:31:31","2022-07-21 11:05:31",100,101,12703,199,0,0
1270302,1011,1021,"2022-07-22 12:31:55","2022-07-22 13:00:31",101,102,12703,199,0,0
1270303,1021,1032,"2022-07-22 15:15:55","2022-07-22 15:32:55",102,103,12703,199,0,0
1270304,1032,1041,"2022-07-22 16:15:55","2022-07-22 16:40:55",103,104,12703,199,0,0
1270305,1041,NULL,"2022-07-22 17:50:55",NULL,104,NULL,12703,0,0,0
1448401,1001,1051,"2022-01-09 02:44:06","2022-01-09 03:02:23",100,105,14484,90,99,0
1448402,1051,1061,"2022-01-09 03:41:46","2022-01-09 03:58:21",105,106,14484,90,99,0
1448403,1061,1072,"2022-01-09 05:15:09","2022-01-09 05:30:17",106,107,14484,90,99,0
1448404,1072,1082,"2022-01-09 06:18:47","2022-01-09 06:38:46",107,108,14484,90,99,0
1448405,1082,NULL,"2022-01-09 07:11:51",NULL,108,NULL,14484,0,0,0
1651901,1172,1001,"2022-08-25 11:42:13","2022-08-25 11:50:03",117,100,16519,100,70,0
1651902,1001,1011,"2022-08-25 18:32:53","2022-08-25 18:51:23",100,101,16519,100,70,0
1651903,1011,1181,"2022-08-25 18:32:53","2022-08-25 18:50:06",101,118,16519,100,70,0
1651904,1181,1131,"2022-08-25 23:21:53","2022-08-26 00:05:53",118,113,16519,100,70,0
1651905,1131,NULL,"2022-08-26 04:17:43",NULL,113,NULL,16519,0,0,0
1684701,1141,1122,"2022-11-07 16:35:00","2022-11-07 17:00:00",114,112,16847,60,50,49
1684702,1122,1152,"2022-11-08 07:46:31","2022-11-08 08:14:41",112,115,16847,60,50,48
1684703,1152,1161,"2022-11-09 10:44:41","2022-11-09 11:25:33",115,116,16847,60,50,48
1684704,1161,1001,"2022-11-09 18:19:43","2022-11-09 18:36:03",116,100,16847,60,50,49
1684705,1001,NULL,"2022-11-09 20:16:53",NULL,100,NULL,16847,0,0,0
